ExpressiveGazeClip,GazeInstance,GazeShiftRotation
WindowWashingAGaze1-Expressive0,WindowWashingAGaze1,"-0.09251646 -0.06341968 -0.02686655"
WindowWashingAGaze1-Expressive1,WindowWashingAGaze1,"0 0 0"
WindowWashingAGaze1-Expressive2,WindowWashingAGaze1,"-0.001107397 -0.0003785137 -0.0006469249"
WindowWashingAGaze1-Expressive3,WindowWashingAGaze1,"-0.009486853 -0.004660666 -0.004829106"
WindowWashingAGaze1-Expressive4,WindowWashingAGaze1,"-0.008460395 -0.004193982 -0.004149169"
WindowWashingAGaze2-Expressive0,WindowWashingAGaze2,"-0.01027424 0.03931179 -0.009935039"
WindowWashingAGaze2-Expressive1,WindowWashingAGaze2,"0 0 0"
WindowWashingAGaze2-Expressive2,WindowWashingAGaze2,"-0.01328072 0.0212086 -0.00113365"
WindowWashingAGaze2-Expressive3,WindowWashingAGaze2,"-0.01358379 0.02064105 -0.001516487"
WindowWashingAGaze2-Expressive4,WindowWashingAGaze2,"-0.007243873 0.008379724 -0.0007863399"
WindowWashingAGaze3-Expressive0,WindowWashingAGaze3,"0.03469612 -0.006946612 -0.01561937"
WindowWashingAGaze3-Expressive1,WindowWashingAGaze3,"0 0 0"
WindowWashingAGaze3-Expressive2,WindowWashingAGaze3,"-0.0008656826 0.0006626982 -6.591877E-05"
WindowWashingAGaze3-Expressive3,WindowWashingAGaze3,"-0.001046394 0.0007833401 -0.0001007941"
WindowWashingAGaze3-Expressive4,WindowWashingAGaze3,"0.002159344 -0.001289038 0.0002413132"
WindowWashingAGaze4-Expressive0,WindowWashingAGaze4,"0.1217354 0.03396128 0.03786174"
WindowWashingAGaze4-Expressive1,WindowWashingAGaze4,"0 0 0"
WindowWashingAGaze4-Expressive2,WindowWashingAGaze4,"0.02077394 -0.01319713 0.0114556"
WindowWashingAGaze4-Expressive3,WindowWashingAGaze4,"0.01352268 -0.004333952 0.007061853"
WindowWashingAGaze4-Expressive4,WindowWashingAGaze4,"0.002797334 -0.0003725353 0.001408047"
WindowWashingAGaze5-Expressive0,WindowWashingAGaze5,"0.05719553 0.03682651 0.0282"
WindowWashingAGaze5-Expressive1,WindowWashingAGaze5,"0 0 0"
WindowWashingAGaze5-Expressive2,WindowWashingAGaze5,"0.0003064273 -0.001678814 -0.0002407753"
WindowWashingAGaze5-Expressive3,WindowWashingAGaze5,"0.0001457183 -0.001800301 -0.0002846489"
WindowWashingAGaze5-Expressive4,WindowWashingAGaze5,"0 0 0"
WindowWashingAGaze6-Expressive0,WindowWashingAGaze6,"-0.08384972 -0.03486658 0.01168042"
WindowWashingAGaze6-Expressive1,WindowWashingAGaze6,"0 0 0"
WindowWashingAGaze6-Expressive2,WindowWashingAGaze6,"-0.01723554 0.01203515 -0.002991074"
WindowWashingAGaze6-Expressive3,WindowWashingAGaze6,"-0.01769484 0.01167848 -0.003259358"
WindowWashingAGaze6-Expressive4,WindowWashingAGaze6,"-0.001794656 0.0006242342 -0.0003421909"
WindowWashingAGaze7-Expressive0,WindowWashingAGaze7,"0.1637183 0.01116959 -0.06490871"
WindowWashingAGaze7-Expressive1,WindowWashingAGaze7,"0 0 0"
WindowWashingAGaze7-Expressive2,WindowWashingAGaze7,"0.003129759 0.005275154 0.001774173"
WindowWashingAGaze7-Expressive3,WindowWashingAGaze7,"0.003439757 0.005620498 0.001544923"
WindowWashingAGaze7-Expressive4,WindowWashingAGaze7,"0.0007219866 0.001824622 0.0003608046"
WindowWashingAGaze8-Expressive0,WindowWashingAGaze8,"-0.09183241 -0.1114747 -0.3250782"
WindowWashingAGaze8-Expressive1,WindowWashingAGaze8,"0 0 0"
WindowWashingAGaze8-Expressive2,WindowWashingAGaze8,"0.05612655 0.02499013 -0.02477653"
WindowWashingAGaze8-Expressive3,WindowWashingAGaze8,"0.05831796 0.03058101 -0.01682539"
WindowWashingAGaze8-Expressive4,WindowWashingAGaze8,"0.02802616 0.01891197 -0.005868248"
WindowWashingAGaze9-Expressive0,WindowWashingAGaze9,"-0.2309209 -0.2302731 -0.1640184"
WindowWashingAGaze9-Expressive1,WindowWashingAGaze9,"0 0 0"
WindowWashingAGaze9-Expressive2,WindowWashingAGaze9,"-0.028777 -0.03110876 -0.005454442"
WindowWashingAGaze9-Expressive3,WindowWashingAGaze9,"-0.02790436 -0.03076658 -0.004070715"
WindowWashingAGaze9-Expressive4,WindowWashingAGaze9,"-0.0136432 -0.0133421 -0.001413232"
WindowWashingAGaze10-Expressive0,WindowWashingAGaze10,"0.1085224 0.5106757 -0.2545471"
WindowWashingAGaze10-Expressive1,WindowWashingAGaze10,"0 0 0"
WindowWashingAGaze10-Expressive2,WindowWashingAGaze10,"-0.02431055 -0.01114507 -0.01727314"
WindowWashingAGaze10-Expressive3,WindowWashingAGaze10,"-0.0337897 -0.01934791 -0.02169438"
WindowWashingAGaze10-Expressive4,WindowWashingAGaze10,"-0.01733586 -0.01009101 -0.01106664"
WindowWashingAGaze11-Expressive0,WindowWashingAGaze11,"0.0229119 -0.04934606 0.009834824"
WindowWashingAGaze11-Expressive1,WindowWashingAGaze11,"0 0 0"
WindowWashingAGaze11-Expressive2,WindowWashingAGaze11,"-0.01738851 0.01957147 0.0002363671"
WindowWashingAGaze11-Expressive3,WindowWashingAGaze11,"-0.01818145 0.02020942 -0.0005955942"
WindowWashingAGaze11-Expressive4,WindowWashingAGaze11,"-0.009380642 0.008017822 -0.0003073295"
WindowWashingAGaze12-Expressive0,WindowWashingAGaze12,"0.0436044 0.117333 -0.04614392"
WindowWashingAGaze12-Expressive1,WindowWashingAGaze12,"0 0 0"
WindowWashingAGaze12-Expressive2,WindowWashingAGaze12,"0.01388062 -0.001536468 0.01410759"
WindowWashingAGaze12-Expressive3,WindowWashingAGaze12,"0.005357856 0.0004596993 0.004804229"
WindowWashingAGaze12-Expressive4,WindowWashingAGaze12,"0 0 0"
WindowWashingAGaze13-Expressive0,WindowWashingAGaze13,"0.01763224 0.001636709 -0.02045953"
WindowWashingAGaze13-Expressive1,WindowWashingAGaze13,"0 0 0"
WindowWashingAGaze13-Expressive2,WindowWashingAGaze13,"-0.01689468 0.06259961 0.007461482"
WindowWashingAGaze13-Expressive3,WindowWashingAGaze13,"-0.01803469 0.0636502 0.004748956"
WindowWashingAGaze13-Expressive4,WindowWashingAGaze13,"-0.01368648 0.02776841 0.001375486"
WindowWashingAGaze16-Expressive0,WindowWashingAGaze16,"-0.03847892 -0.067215 -0.01064644"
WindowWashingAGaze16-Expressive1,WindowWashingAGaze16,"0 0 0"
WindowWashingAGaze16-Expressive2,WindowWashingAGaze16,"-0.03132706 -0.05079684 -0.005984085"
WindowWashingAGaze16-Expressive3,WindowWashingAGaze16,"-0.03022677 -0.04932338 -0.003415354"
WindowWashingAGaze16-Expressive4,WindowWashingAGaze16,"-0.01542054 -0.02214985 -0.001532531"
WindowWashingAGaze17-Expressive0,WindowWashingAGaze17,"0.02038052 0.03703025 -0.02733805"
WindowWashingAGaze17-Expressive1,WindowWashingAGaze17,"0 0 0"
WindowWashingAGaze17-Expressive2,WindowWashingAGaze17,"-0.01580161 0.04504875 0.00641228"
WindowWashingAGaze17-Expressive3,WindowWashingAGaze17,"-0.01680452 0.04810832 0.004363493"
WindowWashingAGaze17-Expressive4,WindowWashingAGaze17,"-0.01154178 0.02060477 0.001035623"
WindowWashingAGaze18-Expressive0,WindowWashingAGaze18,"0.02076931 -0.05236446 0.01613346"
WindowWashingAGaze18-Expressive1,WindowWashingAGaze18,"0 0 0"
WindowWashingAGaze18-Expressive2,WindowWashingAGaze18,"0.01093546 0.0009291574 0.009576847"
WindowWashingAGaze18-Expressive3,WindowWashingAGaze18,"-0.008421531 -0.004195198 -0.006796287"
WindowWashingAGaze18-Expressive4,WindowWashingAGaze18,"-0.009516107 -0.005957609 -0.007064976"
WindowWashingAGaze19-Expressive0,WindowWashingAGaze19,"0.05089356 0.02261789 -0.01938206"
WindowWashingAGaze19-Expressive1,WindowWashingAGaze19,"0 0 0"
WindowWashingAGaze19-Expressive2,WindowWashingAGaze19,"-0.01840136 0.01185169 -0.001171113"
WindowWashingAGaze19-Expressive3,WindowWashingAGaze19,"-0.0185315 0.01233246 -0.001624415"
WindowWashingAGaze19-Expressive4,WindowWashingAGaze19,"-0.004430092 0.002058791 -0.0004500657"
WindowWashingAGaze20-Expressive0,WindowWashingAGaze20,"-0.01120543 -0.04596518 -0.2267687"
WindowWashingAGaze20-Expressive1,WindowWashingAGaze20,"0 0 0"
WindowWashingAGaze20-Expressive2,WindowWashingAGaze20,"0.05727656 0.03056001 -0.02479976"
WindowWashingAGaze20-Expressive3,WindowWashingAGaze20,"0.05809662 0.03716713 -0.01622658"
WindowWashingAGaze20-Expressive4,WindowWashingAGaze20,"0.02611104 0.02117427 -0.00614087"
WindowWashingAGaze21-Expressive0,WindowWashingAGaze21,"-0.2820571 -0.2044242 -0.07643859"
WindowWashingAGaze21-Expressive1,WindowWashingAGaze21,"0 0 0"
WindowWashingAGaze21-Expressive2,WindowWashingAGaze21,"-0.02009374 -0.0131572 0.00420979"
WindowWashingAGaze21-Expressive3,WindowWashingAGaze21,"-0.01814603 -0.01255253 0.00409883"
WindowWashingAGaze21-Expressive4,WindowWashingAGaze21,"-0.008446654 -0.004694589 0.002056433"
WindowWashingAGaze22-Expressive0,WindowWashingAGaze22,"-0.02295648 0.7237633 -0.1019793"
WindowWashingAGaze22-Expressive1,WindowWashingAGaze22,"0 0 0"
WindowWashingAGaze22-Expressive2,WindowWashingAGaze22,"0.03605963 -0.01437719 0.0232177"
WindowWashingAGaze22-Expressive3,WindowWashingAGaze22,"0.011642 -0.001430313 0.006815198"
WindowWashingAGaze22-Expressive4,WindowWashingAGaze22,"0.002022419 -0.0001623178 0.001188794"
WindowWashingAGaze23-Expressive0,WindowWashingAGaze23,"0.04086975 0.008367188 -0.01696762"
WindowWashingAGaze23-Expressive1,WindowWashingAGaze23,"0 0 0"
WindowWashingAGaze23-Expressive2,WindowWashingAGaze23,"0.0139046 0.04423231 0.02147086"
WindowWashingAGaze23-Expressive3,WindowWashingAGaze23,"0.01563546 0.04607729 0.01777151"
WindowWashingAGaze23-Expressive4,WindowWashingAGaze23,"0.007608257 0.02841512 0.007374132"
WindowWashingAGaze24-Expressive0,WindowWashingAGaze24,"0.007155093 0.07776791 0.03664477"
WindowWashingAGaze24-Expressive1,WindowWashingAGaze24,"0 0 0"
WindowWashingAGaze24-Expressive2,WindowWashingAGaze24,"0.007324889 -0.0007598745 0.006226227"
WindowWashingAGaze24-Expressive3,WindowWashingAGaze24,"-0.01314976 -0.009631362 -0.01357173"
WindowWashingAGaze24-Expressive4,WindowWashingAGaze24,"-0.009896968 -0.01585325 -0.01068258"
WindowWashingAGaze25-Expressive0,WindowWashingAGaze25,"-0.1178019 -0.3381085 -0.2752105"
WindowWashingAGaze25-Expressive1,WindowWashingAGaze25,"0 0 0"
WindowWashingAGaze25-Expressive2,WindowWashingAGaze25,"-0.03453851 0.06757711 0.0477568"
WindowWashingAGaze25-Expressive3,WindowWashingAGaze25,"-0.01246377 0.004276544 0.004538727"
WindowWashingAGaze25-Expressive4,WindowWashingAGaze25,"-0.01718902 0.008671664 0.006941258"
WindowWashingAGaze27-Expressive0,WindowWashingAGaze27,"-0.01557941 -0.02177911 -0.002633758"
WindowWashingAGaze27-Expressive1,WindowWashingAGaze27,"0 0 0"
WindowWashingAGaze27-Expressive2,WindowWashingAGaze27,"0 0 0"
WindowWashingAGaze27-Expressive3,WindowWashingAGaze27,"0 0 0"
WindowWashingAGaze27-Expressive4,WindowWashingAGaze27,"0.0005364027 0.0004773335 -0.00012816"
WindowWashingAGaze28-Expressive0,WindowWashingAGaze28,"-0.03696051 -0.04258457 -0.01509314"
WindowWashingAGaze28-Expressive1,WindowWashingAGaze28,"0 0 0"
WindowWashingAGaze28-Expressive2,WindowWashingAGaze28,"-0.03524082 -0.03450466 -0.01016624"
WindowWashingAGaze28-Expressive3,WindowWashingAGaze28,"-0.03425816 -0.03394308 -0.007343812"
WindowWashingAGaze28-Expressive4,WindowWashingAGaze28,"-0.01773542 -0.01600017 -0.00291225"
