vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,vBones#Bone_Eye_L,vBones#srfBind_Lf_Eye,vBones#Bone_Eye_R,vBones#srfBind_Rt_Eye,vBones#srfBind_Lf_ArmA,vBones#srfBind_Lf_ArmB,vBones#srfBind_Lf_ArmD,vBones#Hand_L,vBones#srfBind_Rt_ArmA,vBones#srfBind_Rt_ArmB,vBones#srfBind_Rt_ArmD,vBones#Hand_R,vBones#srfBind_Lf_LegA,vBones#srfBind_Lf_LegC,vBones#srfBind_Lf_FootA,vBones#srfBind_Rt_LegA,vBones#srfBind_Rt_LegC,vBones#srfBind_Rt_FootA,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,aBones#Bone_Eye_L,aBones#srfBind_Lf_Eye,aBones#Bone_Eye_R,aBones#srfBind_Rt_Eye,aBones#srfBind_Lf_ArmA,aBones#srfBind_Lf_ArmB,aBones#srfBind_Lf_ArmD,aBones#Hand_L,aBones#srfBind_Rt_ArmA,aBones#srfBind_Rt_ArmB,aBones#srfBind_Rt_ArmD,aBones#Hand_R,aBones#srfBind_Lf_LegA,aBones#srfBind_Lf_LegC,aBones#srfBind_Lf_FootA,aBones#srfBind_Rt_LegA,aBones#srfBind_Rt_LegC,aBones#srfBind_Rt_FootA,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,p0Bones#Bone_Eye_L,p0Bones#srfBind_Lf_Eye,p0Bones#Bone_Eye_R,p0Bones#srfBind_Rt_Eye,p0Bones#srfBind_Lf_ArmA,p0Bones#srfBind_Lf_ArmB,p0Bones#srfBind_Lf_ArmD,p0Bones#Hand_L,p0Bones#srfBind_Rt_ArmA,p0Bones#srfBind_Rt_ArmB,p0Bones#srfBind_Rt_ArmD,p0Bones#Hand_R,p0Bones#srfBind_Lf_LegA,p0Bones#srfBind_Lf_LegC,p0Bones#srfBind_Lf_FootA,p0Bones#srfBind_Rt_LegA,p0Bones#srfBind_Rt_LegC,p0Bones#srfBind_Rt_FootA,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,pBones#Bone_Eye_L,pBones#srfBind_Lf_Eye,pBones#Bone_Eye_R,pBones#srfBind_Rt_Eye,pBones#srfBind_Lf_ArmA,pBones#srfBind_Lf_ArmB,pBones#srfBind_Lf_ArmD,pBones#Hand_L,pBones#srfBind_Rt_ArmA,pBones#srfBind_Rt_ArmB,pBones#srfBind_Rt_ArmD,pBones#Hand_R,pBones#srfBind_Lf_LegA,pBones#srfBind_Lf_LegC,pBones#srfBind_Lf_FootA,pBones#srfBind_Rt_LegA,pBones#srfBind_Rt_LegC,pBones#srfBind_Rt_FootA,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,wBones#Bone_Eye_L,wBones#srfBind_Lf_Eye,wBones#Bone_Eye_R,wBones#srfBind_Rt_Eye,wBones#srfBind_Lf_ArmA,wBones#srfBind_Lf_ArmB,wBones#srfBind_Lf_ArmD,wBones#Hand_L,wBones#srfBind_Rt_ArmA,wBones#srfBind_Rt_ArmB,wBones#srfBind_Rt_ArmD,wBones#Hand_R,wBones#srfBind_Lf_LegA,wBones#srfBind_Lf_LegC,wBones#srfBind_Lf_FootA,wBones#srfBind_Rt_LegA,wBones#srfBind_Rt_LegC,wBones#srfBind_Rt_FootA,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,54.84443,14.91962,21.59452,21.59452,21.4308,25.15087,13.42871,0,13.37615,0,0,111.6089,45.69369,38.93475,0,55.02395,14.14404,12.67306,129.444,29.79206,62.80786,162.9766,214.1746,224.8831,16.43272,1765.414,746.9258,721.0129,721.0129,556.2188,822.8524,434.654,0,436.1101,0,0,1308.338,613.6617,106.8246,0,466.9977,151.0729,87.22195,2326.604,1170.753,483.0138,2066.231,3066.764,2731.255,0.5310638,0.4814587,1,0.5588015,0.5588015,0.1464134,0.1645124,0.1774063,0,0.1779255,0,0,0.2737626,0.2598318,0.02302938,0,0.04937377,0.0231689,0.01108904,0.650501,0.3381504,0.09219214,0.3862617,0.4583502,0.4147098,0.4948352,0.4351205,0.89638,0.5120443,0.5120443,0.1375827,0.1513596,0.1593094,0,0.1604388,0,0,0.2490201,0.2618512,0.03656382,0,0.0447244,0.02059458,0.01743553,0.5931055,0.3055593,0.09412526,0.3599483,0.4519028,0.4024657,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.400919,0.3718497
0,54.84443,14.91962,21.59452,21.59452,21.4308,25.15087,13.42871,0,13.37615,0,0,111.6089,45.69369,38.93475,0,55.02395,14.14404,12.67306,129.444,29.79206,62.80786,162.9766,214.1746,224.8831,16.43272,1765.414,746.9258,721.0129,721.0129,556.2188,822.8524,434.654,0,436.1101,0,0,1308.338,613.6617,106.8246,0,466.9977,151.0729,87.22195,2326.604,1170.753,483.0138,2066.231,3066.764,2731.255,0.5310638,0.4814587,1,0.5588015,0.5588015,0.1464134,0.1645124,0.1774063,0,0.1779255,0,0,0.2737626,0.2598318,0.02302938,0,0.04937377,0.0231689,0.01108904,0.650501,0.3381504,0.09219214,0.3862617,0.4583502,0.4147098,0.453127,0.3706315,0.7240249,0.4210777,0.4210777,0.1172565,0.1264505,0.1237843,0,0.1254653,0,0,0.205301,0.2511555,0.07596951,0,0.04624162,0.01794773,0.04186848,0.5130885,0.2679595,0.09429152,0.3180932,0.433087,0.3812196,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.400919,0.3229253
0,38.22263,11.07105,7.873274,7.873274,9.270305,25.53997,1.18694,0,1.18694,0,0,75.36055,65.99106,35.31039,0,70.2015,19.21233,15.70176,87.82796,9.117065,53.9117,138.5208,111.9429,134.4843,6.343513,236.1982,50.35762,178.0411,178.0411,254.2936,230.7677,35.60821,0,50.35762,0,0,244.1177,656.5841,671.8556,0,71.21642,0,536.4924,479.0599,155.2126,574.166,799.4044,2678.514,2005.504,0.2050062,0.06441532,0.06741984,0.1379859,0.1379859,0.06693765,0.04613724,0.01453368,0,0.02054505,0,0,0.05108029,0.2780057,0.1448394,0,0.007529422,0,0.06820744,0.1339416,0.0448303,0.1095902,0.1494408,0.4003234,0.3045129,0.3729514,0.2594712,0.4497334,0.2772211,0.2772211,0.08627059,0.09784791,0.07083125,0,0.07233658,0,0,0.1375227,0.2139587,0.1203493,0,0.06373735,0.02428716,0.08871635,0.3742056,0.2021412,0.08421422,0.2475853,0.4047834,0.3215645,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.1392944,0.2420822
0,34.66613,10.61632,10.74821,10.74821,11.07105,32.91499,2.65408,0,2.907398,0,0,69.70805,87.41792,57.69868,0,68.76178,20.52415,1.678587,72.85089,14.34187,47.67049,124.8276,22.70755,93.53047,14.90673,1166.413,284.8658,207.6298,207.6298,163.1774,293.633,50.35762,0,50.35762,0,0,492.1158,343.3933,1186.888,0,991.9339,146.8164,1367.569,1598.424,1014.682,399.7014,1317.994,2321.967,2197.677,0.4817477,0.3181009,0.3813844,0.1609179,0.1609179,0.04295315,0.05870587,0.02055373,0,0.02054505,0,0,0.1029725,0.1453969,0.2558706,0,0.1048731,0.02251613,0.1738672,0.4469075,0.2930721,0.07629044,0.246386,0.3470348,0.3336921,0.3664953,0.2152539,0.2715708,0.1758459,0.1758459,0.06487824,0.08464982,0.03664401,0,0.03669454,0,0,0.120531,0.1575654,0.1744759,0,0.09477531,0.04178201,0.1251241,0.3342526,0.2008389,0.06229259,0.2235752,0.3792706,0.2867565,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.2222246,0.2001198
0,41.79675,1.678587,7.506873,7.506873,13.05635,27.96254,4.747762,0,4.747762,0,0,69.06846,98.79793,97.28169,0,64.31516,15.65683,47.70004,77.58071,19.4673,36.64185,120.3094,54.72871,120.8295,5.720046,225.2062,61.67524,106.8246,106.8246,191.7561,656.5841,50.35762,0,35.60821,0,0,273.512,50.35762,314.4833,0,1827.18,678.4288,1673.983,431.727,291.4659,0,686.7876,2495.432,454.6156,0.1848574,0.0614176,0.08257211,0.08279156,0.08279156,0.05047593,0.1312705,0.02055373,0,0.01452755,0,0,0.05723088,0.02132203,0.06779666,0,0.1931803,0.1040455,0.2128233,0.1207076,0.08418453,0,0.1283882,0.3729605,0.06902817,0.3429032,0.1643596,0.1197672,0.1264553,0.1264553,0.05679569,0.09076876,0.01988484,0,0.01853922,0,0,0.1681148,0.1084584,0.2089061,0,0.1169754,0.06077993,0.144026,0.2910159,0.2256065,0.04094367,0.2055892,0.3583444,0.2669652,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.1136502,0.1775438
0,45.87831,2.373881,6.501142,6.501142,13.68847,16.70175,6.608606,0,6.608606,0,0,70.37188,99.9535,102.6175,0,52.56201,6.818455,8.050224,65.78792,9.642754,37.77773,101.0959,137.8988,105.6152,16.78421,916.1795,0,128.3873,128.3873,280.3795,332.1314,50.35762,0,50.35762,0,0,1364.32,291.4659,1643.791,0,828.2281,503.5767,246.701,1816.042,1149.991,106.8246,1771.15,2458.315,2752.53,0.5424232,0.2498579,0,0.09950309,0.09950309,0.07380423,0.06640285,0.02055373,0,0.02054505,0,0,0.2854766,0.1234102,0.3543702,0,0.08756519,0.07722975,0.03136455,0.5077518,0.3321538,0.02038946,0.3310992,0.367413,0.4179401,0.3574879,0.1666152,0.0607254,0.1849297,0.1849297,0.09225646,0.1313747,0.02055373,0,0.01920783,0,0,0.3070262,0.09078553,0.2308291,0,0.1402429,0.06008906,0.1249455,0.3005709,0.2972771,0.04477077,0.2251207,0.3317783,0.3410492,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.2275964,0.2107702
0,28.5854,3.140349,4.441125,4.441125,22.70755,21.56188,8.64106,0,8.559152,0,0,111.9681,91.04185,48.52,0,60.07919,9.787766,0,32.17912,28.61003,39.70511,75.39793,219.5507,61.38985,8.608627,347.0661,0,297.9198,297.9198,225.2062,633.9872,50.35762,0,50.35762,0,0,2453.409,228.0039,1444.67,0,764.5425,230.7677,1408.675,764.5425,1670.951,343.3933,859.7768,1853.363,2554.195,0.278209,0.09465091,0,0.2308947,0.2308947,0.05928098,0.1267527,0.02055373,0,0.02054505,0,0,0.5133625,0.09653961,0.3114436,0,0.08083197,0.03539109,0.1790931,0.2137604,0.4826232,0.06554299,0.1607268,0.2769986,0.3878252,0.2912761,0.127413,0.01666577,0.3477352,0.3477352,0.181976,0.2169493,0.02106699,0,0.01987644,0,0,0.499285,0.09281952,0.1940051,0,0.2047405,0.04582575,0.1125098,0.2253564,0.3054768,0.06419973,0.2157169,0.2799601,0.3863931,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.218007,0.2562536
0,33.86436,3.560822,7.121644,7.121644,19.82584,23.13777,10.48278,0,10.41536,0,0,32.67873,84.20798,2.65408,0,57.60093,1.678587,47.16539,36.46842,27.04044,32.13531,67.17603,280.8315,51.27301,5.639079,439.0079,0,745.2263,745.2263,1316.068,2042.778,50.35762,0,50.35762,0,0,3166.854,155.2126,0,0,3278.222,50.35762,571.9533,236.1982,873.6747,704.1082,1113.581,1584.481,3742.288,0.1822407,0.119725,0,0.5775675,0.5775675,0.3464285,0.4084115,0.02055373,0,0.02054505,0,0,0.6626469,0.06571891,0,0,0.3465931,0.007722967,0.07271579,0.06603926,0.2523448,0.1343921,0.208173,0.2368122,0.5682235,0.2449061,0.1138897,0.02682665,0.4921326,0.4921326,0.2814829,0.3153048,0.02158025,0,0.02054505,0,0,0.6398785,0.1149061,0.1212264,0,0.2895162,0.03370491,0.08962927,0.1609357,0.2560937,0.08425236,0.2303305,0.2589229,0.4605209,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.3286036,0.3045483
0,47.70004,3.140349,31.84907,31.84907,37.79637,68.93573,12.44874,0,12.33505,0,0,124.7825,79.05589,2.055841,0,102.4458,0,28.11328,42.24934,56.18944,32.3102,52.41438,333.602,145.0459,4.724147,228.0039,50.35762,1290.284,1290.284,2161.608,2457.799,61.67524,0,50.35762,0,0,4779.098,345.2346,163.1774,0,5094.982,210.6611,427.2989,424.3211,167.0173,375.156,1349.838,717.4871,1796.033,0.1526724,0.06218057,0.06741984,1,1,0.5689996,0.4913863,0.02517307,0,0.02054505,0,0,1,0.1461765,0.03517796,0,0.5386717,0.03230749,0.05432503,0.118637,0.04823988,0.07160548,0.252339,0.1072337,0.272707,0.1978299,0.0971258,0.06205321,0.564086,0.5641866,0.3175457,0.3678573,0.02209351,0,0.02054505,0,0,0.6640508,0.1591711,0.05598074,0,0.3565142,0.04000957,0.1204608,0.108152,0.1854637,0.08782167,0.3240599,0.3378119,0.4595883,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.4262109,0.3338513
0,48.15567,2.055841,12.61736,12.61736,50.1197,68.92551,14.3909,0,14.34187,0,0,44.50662,67.52121,5.934703,0,87.05452,7.022036,42.3659,54.02917,61.86993,41.32215,73.16931,309.7233,113.0826,7.836211,375.156,79.62239,174.4439,174.4439,621.8716,1549.688,50.35762,0,50.35762,0,0,2192.478,538.8507,201.4305,0,2263.339,440.4496,710.3831,278.1091,532.9355,316.4929,1557.849,3238.328,4616.836,0.2532465,0.1023115,0.1066001,0.1351981,0.1351981,0.1636952,0.3098282,0.02055373,0,0.02054505,0,0,0.458764,0.2281559,0.04342461,0,0.2392936,0.06754842,0.09031518,0.07775723,0.1539286,0.06040853,0.2912246,0.4839917,0.7010136,0.1959513,0.108498,0.1028128,0.4577561,0.4576701,0.2491811,0.3461633,0.03159487,0,0.03023329,0,0,0.5240829,0.2057218,0.02704116,0,0.3384112,0.07088493,0.2325891,0.09267517,0.1705994,0.09478148,0.4247257,0.4822931,0.4944712,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.2390915,0.3213331
0,40.00558,3.357175,14.29267,14.29267,37.21412,84.09077,16.31775,0,16.31775,0,0,40.47821,49.55431,12.22031,0,57.22055,21.78937,66.05508,61.27499,44.12513,33.55089,123.054,201.8158,41.01415,5.361462,545.8642,106.8246,542.3688,543.5364,271.1841,1367.106,50.35762,0,50.35762,0,0,1052.708,731.4882,0,0,3215.929,503.5767,3272.22,415.2598,793.8336,630.9801,5349.304,6690.875,2580.865,0.1732688,0.1488666,0.1430191,0.4203483,0.4212532,0.07138375,0.2733247,0.02055373,0,0.02054505,0,0,0.2202733,0.309721,0,0,0.340007,0.07722975,0.4160166,0.1161035,0.2292842,0.1204343,1,1,0.3918747,0.2057759,0.1454316,0.1198835,0.4265265,0.426372,0.2179575,0.3282603,0.05183184,0,0.05085132,0,0,0.3844467,0.2466705,0.03255446,0,0.2938506,0.1274612,0.3932005,0.157721,0.2210919,0.1045668,0.4906867,0.5743291,0.4201158,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.3726317,0.3255672
0,37.57206,6.501142,6.167525,6.2807,29.33937,44.30039,18.27274,0,18.34968,0,0,17.32285,25.12285,12.10447,0,79.86269,4.893881,175.1319,54.41891,17.64516,14.2433,56.22704,21.23267,52.09082,5.250988,468.3533,137.91,381.8558,378.5208,472.3967,1241.198,271.1841,0,264.0777,0,0,1133.891,447.5887,198.2582,0,2117.454,1359.666,6362.932,233.4987,921.6989,803.36,1262.469,2926.478,2962.44,0.1696986,0.127728,0.1846369,0.295947,0.2933623,0.1243489,0.2481519,0.1106852,0,0.1077392,0,0,0.2372605,0.1895145,0.04274072,0,0.2238698,0.2085216,0.808957,0.0652845,0.2662157,0.1533362,0.2360061,0.4373835,0.4498125,0.2083248,0.1831725,0.1235215,0.4749489,0.4746111,0.320474,0.3907238,0.06978507,0,0.06918656,0,0,0.3376077,0.2997093,0.05236564,0,0.241146,0.1870553,0.4927997,0.2656763,0.3035116,0.1253521,0.3726955,0.4809001,0.3741248,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.2484345,0.3434666
0,46.32145,10.94306,14.48847,14.43976,32.91499,69.23145,27.32549,0,27.19629,0,0,35.66767,10.14123,5.567245,0,138.1439,40.33875,36.94817,49.96486,13.05635,14.82489,17.52498,118.7711,85.43718,10.32302,1246.804,0,923.0735,924.4462,2288.412,2636.042,287.0827,0,291.4659,0,0,1945.815,730.621,396.5165,0,1509.903,2158.379,3444.231,2383.677,1431.444,422.8244,585.1034,1465.151,204.5536,0.3336139,0.3400248,0,0.7154032,0.716467,0.6023781,0.5270224,0.1171743,0,0.1189131,0,0,0.4071511,0.3093538,0.08548147,0,0.1596359,0.3310142,0.4378854,0.6664581,0.4134461,0.08070388,0.1093793,0.2189775,0.03105912,0.2010967,0.2484946,0.1086023,0.5843517,0.5844052,0.50744,0.5108613,0.07724255,0,0.07727646,0,0,0.4567203,0.3501486,0.09158622,0,0.2080471,0.2058197,0.4356579,0.4188192,0.3472061,0.1409057,0.2370749,0.3021896,0.2857161,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.4109465,0.3793808
0,71.089,11.13449,43.05858,43.05858,70.21153,75.50996,36.9291,0,36.89093,0,0,92.36322,14.19375,7.783291,0,145.8212,112.2697,77.85265,76.28962,60.8134,4.441125,26.00462,69.93003,91.72795,3.057633,679.3627,123.3505,1264.476,1265.478,3798.962,4309.202,0,0,0,0,0,2929.943,1564.752,596.9033,0,2460.377,1133.891,1653.405,1975.564,1708.843,1076.528,728.8835,628.9675,3100.691,0.09881495,0.1852739,0.1651442,0.9799976,0.9807746,1,0.8615362,0,0,0,0,0,0.6130745,0.662535,0.1286811,0,0.2601257,0.1738963,0.2102071,0.5523529,0.4935677,0.2054753,0.1362576,0.09400377,0.4708043,0.1789254,0.2777399,0.1161217,0.5772245,0.5774327,0.5946298,0.5696069,0.08456834,0,0.08494741,0,0,0.5797905,0.3929661,0.1187251,0,0.1888699,0.1608011,0.3199372,0.4639637,0.3191504,0.171079,0.135042,0.1363721,0.2905802,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.5396485,0.3733626
0,52.34714,9.039472,5.035762,5.035762,72.69601,129.0297,37.51577,0,37.5533,0,0,9.93066,66.33179,27.68405,0,147.1727,150.0789,22.73855,58.00311,117.7763,35.78597,37.79637,48.98239,51.6699,3.055092,1618.918,100.7152,181.567,181.567,1670.571,2620.845,249.2576,0,251.7882,0,0,4626.579,494.6856,1043.635,0,808.8652,112.6031,1202.806,1497.253,469.705,984.8783,326.3548,0,1614.605,0.0987328,0.4415069,0.1348397,0.1407186,0.1407186,0.4397441,0.523984,0.1017358,0,0.1027253,0,0,0.9680862,0.2094559,0.224988,0,0.08551802,0.01726908,0.1529198,0.4186207,0.1356656,0.1879823,0.06100883,0,0.2451592,0.1715264,0.2936705,0.1081303,0.4130771,0.413368,0.4827286,0.4834031,0.1070967,0,0.1080147,0,0,0.6410999,0.3828082,0.1955842,0,0.1648404,0.08950933,0.2064367,0.4328346,0.2204101,0.205158,0.1226233,0.06881872,0.2378657,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.23279,0.306225
0,10.34751,8.223367,8.882252,8.882252,23.88676,49.44045,29.09829,0,29.14667,0,0,155.3665,49.8378,62.45919,0,136.7186,153.8029,62.83029,33.98894,102.1082,66.16164,30.95173,49.41195,72.40471,8.648321,927.8688,71.21642,318.4897,318.4897,543.5364,958.7839,520.9038,0,523.3323,0,0,1869.372,760.3851,87.22195,0,1941.574,133.2337,2031.262,1012.806,94.21048,1218.516,1229.393,468.3533,1320.877,0.2794918,0.2530458,0.09534605,0.2468368,0.2468368,0.143075,0.1916891,0.2126096,0,0.2135107,0,0,0.3911559,0.3219563,0.0188034,0,0.2052748,0.02043305,0.2582463,0.2831729,0.02721096,0.2325764,0.2298231,0.06999882,0.20056,0.184057,0.2329186,0.09818085,0.2573985,0.256761,0.2949226,0.3313791,0.123883,0,0.1247908,0,0,0.5455547,0.3794721,0.3193731,0,0.1529974,0.04959314,0.1643012,0.3436538,0.1322398,0.2429376,0.1363263,0.05816317,0.2005116,0.8984216,0.8984216,0.4291652,0.2701773,4.214603,0.4824601,1.633061,1.272807E-06,0,0.0003961672,0,0.06507815,0.7664354,0.8350285,0,0.06507775,0.7664347,0.848224,0,1.416395,1.280006,0.4274615,1.416404,1.280005,1.294025,0,0,0,0,0,0,0,0,0.2054104,0.2298483
